Sondaggista,Committente,Data iniziale,Data finale,Campione,Toti,Sansa,Salvatore,Massardo,Altri
SWG,Comitato Giovanni Toti Liguria,2020-02-13,2020-02-18,1000,56,32,7,,5
Piepoli,Il Secolo XIX,2020-02-24,2020-02-27,607,51,37,8,,3
SWG,Comitato Giovanni Toti Liguria,2020-03-11,2020-03-23,1500,56,29.5,8,,6.5
Noto,Rai 1,2020-06-03,2020-06-03,,49,42,,4,5
Opimedia,,2020-06-22,2020-06-22,808,55,40,,,5
Noto,Cambiamo!,2020-07-13,2020-07-15,2000,57,40,,2,1
Tecnè,Agenzia Dire,2020-08-03,2020-08-04,1000,53,41,,4,2
