Sondaggista,Data finale,Campione,Emiliano,Poli Bortone,Schittulli,Laricchia,Altri
SWG,2015-04-30,1200,45,22,17,13,3
tecnè,2015-05-11,800,44.5,15.5,15.5,22.5,2
IPR Marketing,2015-05-10,1005,46,17,14,20,3
Ipsos,2015-05-13,800,48.5,21.5,12.5,14.5,4
